Barco/Marea/lance;Especie capturada;Especie descartada;Kg especie;Nº individuos;Media aritmética;Varianza muestral;Desv. Típica;Comprobación Nº ind.;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;81;83;86;88;89;92;96;113
OC_01_05;HKE;;X;1;57;#¡DIV/0!;#¡DIV/0!;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_05;BXD;;X;1;28;#¡DIV/0!;#¡DIV/0!;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_05;BYS;;X;4;23.8;0.3;0.5;4;;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_05;BRF;;X;11;24.1;8.7;2.9;11;;;;1;1;2;2;;2;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_05;;WHB;X;20;26.3;10.1;3.2;20;;;;;1;2;1;2;2;5;1;;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_05;;SHO;X;55;48.2;39.5;6.3;55;;;;;;;;;;;;;;;;;;;;;;2;;1;2;7;5;2;6;3;2;;4;1;2;1;5;3;1;2;1;2;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;
OC_01_05;;ETX;X;45;33.4;8.6;2.9;45;;;;;;;;;;;;2;2;4;4;8;1;9;4;4;3;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_06;WRF;;X;8;64.9;13.8;3.7;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;1;;;;1;;;1;;;;;;;;;;;;;;
OC_01_06;HKE;;X;1;71;#¡DIV/0!;#¡DIV/0!;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
OC_01_06;SBR;;X;1;49;#¡DIV/0!;#¡DIV/0!;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_06;WHB;;32;109;27.7;5.9;2.4;109;;;;;;;2;7;11;17;21;17;9;12;3;6;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_06;GFB;;X;1;49;#¡DIV/0!;#¡DIV/0!;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_06;SLI;;X;1;86;#¡DIV/0!;#¡DIV/0!;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
OC_01_06;BXD;;X;1;36;#¡DIV/0!;#¡DIV/0!;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_06;BRF;;X;91;25.6;13.4;3.7;92;;1;3;4;7;4;11;6;14;10;9;7;5;2;1;3;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_06;BYS;;X;3;31.3;124.2;11.1;4;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_06;;WHB;X;24;26.7;16.5;4.1;24;;;;1;2;1;3;2;;3;2;1;1;2;2;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_06;;SHO;X;52;50.5;28.5;5.3;52;;;;;;;;;;;;;;;;;;;;;;;1;;;;3;2;5;2;4;2;5;2;1;6;7;3;2;;1;2;;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;
OC_01_06;;ETX;X;36;34.3;28.7;5.4;36;;;;;;;1;2;1;;1;1;;1;;4;2;4;5;1;4;2;1;2;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_07;SBR;;X;8;32.4;6.8;2.6;8;;;;;;;;;;;1;;;;1;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_07;BRF;;X;10;28;9.3;3.1;10;;;;;;;1;;2;;2;;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_07;WHB;;X;86;26.7;9.5;3.1;86;;;;;;2;7;13;17;12;10;3;5;3;6;3;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_07;;WHB;X;21;22.9;13.3;3.7;21;1;;2;3;2;5;1;1;2;;1;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_07;;SHO;X;25;46.7;38.4;6.2;25;;;;;;;;;;;;;;;;;;;1;;;2;;1;2;;3;1;2;;2;;3;1;1;1;;2;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_07;;ETX;X;18;35.1;11.6;3.4;18;;;;;;;;;;;;;;2;1;2;1;2;2;1;2;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_08;SLI;;X;2;80.5;12.5;3.5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;
OC_01_08;ORY;;X;1;27;#¡DIV/0!;#¡DIV/0!;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_08;GFB;;X;2;46;18;4.2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_08;SBR;;X;19;37.8;44.3;6.7;19;;;;;;;;;;1;;;;1;1;2;1;1;1;2;1;;1;;1;;1;;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_08;WRF;;X;1;63;#¡DIV/0!;#¡DIV/0!;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
OC_01_08;BRF;;X;28;27.5;22.3;4.7;28;;;1;2;1;1;2;;3;1;2;4;1;1;3;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_08;WHB;;X;69;26.2;7.7;2.8;69;;;;;1;2;7;10;11;12;7;8;2;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_08;;SHO;X;82;57.4;42.3;6.5;82;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;2;;1;1;2;2;1;4;5;1;7;4;2;1;11;2;3;2;10;6;4;2;2;2;1;1;1;;;;;;;;;;;;;;;;
OC_01_08;;ETX;X;42;37.3;10.1;3.2;42;;;;;;;;;;;;;;;2;1;1;2;6;3;7;9;2;4;1;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_08;;WHB;X;17;23;7.9;2.8;17;;1;1;1;2;3;2;2;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_09;BRF;;X;37;32.3;7.8;2.8;37;;;;;;;;;;1;1;1;2;3;7;6;4;2;6;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_09;GFB;;X;9;51.8;35.2;5.9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;2;;;;1;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
OC_01_09;SLI;;X;3;92;16;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;
OC_01_09;COE;;X;2;101;288;17;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
OC_01_09;WRF;;X;1;67;#¡DIV/0!;#¡DIV/0!;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
OC_01_09;WHB;;X;34;26.6;10.3;3.2;34;;;;;2;1;3;1;7;6;3;1;2;4;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_09;;WHB;X;11;22.5;12.3;3.5;11;;1;1;1;2;2;1;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
